,img_names,num_seeds
0,TLI_SGG2505.JPG,125
1,TLI_SGG1830.JPG,100
2,TLI_SGG3089.JPG,92
3,TLI_SGG3158.JPG,109
4,TLI_SGG2471.JPG,62
5,TLI_SGG2877.JPG,126
6,TLI_SGG3048.JPG,114
7,TLI_SGG2785.JPG,138
8,TLI_SGG3207.JPG,128
9,TLI_SGG2696.JPG,313
10,TLI_SGG1823.JPG,126
11,TLI_SGG2467.JPG,129
12,TLI_SGG2473.JPG,147
13,TLI_SGG2401.JPG,88
14,TLI_SGG1923.JPG,113
15,TLI_SGG1928.JPG,130
16,TLI_SGG2605.JPG,109
17,TLI_SGG2664.JPG,134
18,TLI_SGG3225.JPG,435
19,TLI_SGG2953.JPG,67
20,TLI_SGG1803.JPG,79
21,TLI_SGG2369.JPG,119
22,TLI_SGG3024.JPG,119
23,TLI_SGG2284.JPG,126
24,TLI_SGG1824.JPG,129
25,TLI_SGG2940.JPG,97
26,TLI_SGG2145.JPG,156
27,TLI_SGG3000.JPG,96
28,TLI_SGG2619.JPG,134
29,TLI_SGG1819.JPG,108
30,TLI_SGG2839.JPG,111
31,TLI_SGG2716.JPG,87
32,TLI_SGG2595.JPG,122
33,TLI_SGG2461.JPG,71
34,TLI_SGG2593.JPG,105
35,TLI_SGG2873.JPG,104
36,TLI_SGG1992.JPG,128
37,TLI_SGG1905.JPG,143
38,TLI_SGG2446.JPG,93
39,TLI_SGG2909.JPG,554
40,TLI_SGG2463.JPG,103
41,TLI_SGG2186.JPG,184
42,TLI_SGG2502.JPG,175
43,TLI_SGG2638.JPG,121
44,TLI_SGG3078.JPG,122
45,TLI_SGG3096.JPG,112
46,TLI_SGG3040.JPG,126
47,TLI_SGG3034.JPG,73
48,TLI_SGG2261.JPG,112
49,TLI_SGG2938.JPG,124
50,TLI_SGG1951.JPG,87
51,TLI_SGG2901.JPG,142
52,TLI_SGG2789.JPG,402
53,TLI_SGG2282.JPG,72
54,TLI_SGG2922.JPG,120
55,TLI_SGG1918.JPG,133
56,TLI_SGG2360.JPG,143
57,TLI_SGG1950.JPG,118
58,TLI_SGG2935.JPG,111
59,TLI_SGG2452.JPG,77
60,TLI_SGG2641.JPG,123
61,TLI_SGG2350.JPG,89
62,TLI_SGG2348.JPG,128
63,TLI_SGG3006.JPG,281
64,TLI_SGG1916.JPG,127
65,TLI_SGG1897.JPG,61
66,TLI_SGG1811.JPG,137
67,TLI_SGG3038.JPG,109
68,TLI_SGG2866.JPG,299
69,TLI_SGG2729.JPG,111
70,TLI_SGG2256.JPG,132
71,TLI_SGG2670.JPG,392
